Title,Year,Ratings
"<h3 class=""ipc-title__text"">200. Sherlock Jr.</h3>","1924,45m,Passed,8.2, (,56K,),Rate",8.2
"<h3 class=""ipc-title__text"">201. Monsters, Inc.</h3>","2001,1h 32m,G,8.1, (,971K,),Rate",8.1
"<h3 class=""ipc-title__text"">202. The Third Man</h3>","1949,1h 33m,Approved,8.1, (,181K,),Rate",8.1
"<h3 class=""ipc-title__text"">203. Wild Strawberries</h3>","1957,1h 31m,Not Rated,8.1, (,114K,),Rate",8.1
"<h3 class=""ipc-title__text"">204. The Wages of Fear</h3>","1953,2h 11m,Not Rated,8.2, (,66K,),Rate",8.2
"<h3 class=""ipc-title__text"">205. Jaws</h3>","1975,2h 4m,PG,8.1, (,654K,),Rate",8.1
"<h3 class=""ipc-title__text"">206. How to Train Your Dragon</h3>","2010,1h 38m,PG,8.1, (,793K,),Rate",8.1
"<h3 class=""ipc-title__text"">207. Mary and Max</h3>","2009,1h 32m,Not Rated,8.1, (,186K,),Rate",8.1
"<h3 class=""ipc-title__text"">208. Mr. Smith Goes to Washington</h3>","1939,2h 9m,Passed,8.1, (,121K,),Rate",8.1
"<h3 class=""ipc-title__text"">209. Ford v Ferrari</h3>","2019,2h 32m,PG-13,8.1, (,458K,),Rate",8.1
"<h3 class=""ipc-title__text"">210. Ratatouille</h3>","2007,1h 51m,G,8.1, (,814K,),Rate",8.1
"<h3 class=""ipc-title__text"">211. The Seventh Seal</h3>","1957,1h 36m,Not Rated,8.1, (,197K,),Rate",8.1
"<h3 class=""ipc-title__text"">212. Room</h3>","2015,1h 58m,R,8.1, (,447K,),Rate",8.1
"<h3 class=""ipc-title__text"">213. The Big Lebowski</h3>","1998,1h 57m,R,8.1, (,855K,),Rate",8.1
"<h3 class=""ipc-title__text"">214. Tokyo Story</h3>","1953,2h 16m,Not Rated,8.1, (,68K,),Rate",8.1
"<h3 class=""ipc-title__text"">215. Rocky</h3>","1976,2h,PG,8.1, (,623K,),Rate",8.1
"<h3 class=""ipc-title__text"">216. Logan</h3>","2017,2h 17m,R,8.1, (,823K,),Rate",8.1
"<h3 class=""ipc-title__text"">217. Spotlight</h3>","2015,2h 9m,R,8.1, (,499K,),Rate",8.1
"<h3 class=""ipc-title__text"">218. Hotel Rwanda</h3>","2004,2h 1m,PG-13,8.1, (,370K,),Rate",8.1
"<h3 class=""ipc-title__text"">219. Platoon</h3>","1986,2h,R,8.1, (,436K,),Rate",8.1
"<h3 class=""ipc-title__text"">220. The Terminator</h3>","1984,1h 47m,R,8.1, (,917K,),Rate",8.1
"<h3 class=""ipc-title__text"">221. The Passion of Joan of Arc</h3>","1928,1h 54m,Passed,8.1, (,60K,),Rate",8.1
"<h3 class=""ipc-title__text"">222. Jai Bhim</h3>","2021,2h 44m,TV-MA,8.7, (,216K,),Rate",8.7
"<h3 class=""ipc-title__text"">223. Before Sunset</h3>","2004,1h 20m,R,8.1, (,286K,),Rate",8.1
"<h3 class=""ipc-title__text"">224. The Best Years of Our Lives</h3>","1946,2h 50m,Approved,8.1, (,70K,),Rate",8.1
